doc_id,page_no,providers_present,provider_comparison_coverage,trigger_score,trigger_reasons,recommend_secondary_ocr,reason,meta_json
债务人审计报告-2022年,4,"aliyun_table,tencent_table_v3",0.371429,0.55,"[""suspicious_numeric_cells"",""validation_fail""]",False,all_supported_providers_already_present,"{""review_ratio"":0.020689655172413793,""suspicious_count"":4,""unknown_date_ratio"":0.0,""validation_fail_count"":4}"
债务人审计报告-2022年,5,"aliyun_table,tencent_table_v3",0.603448,0.4,"[""suspicious_numeric_cells"",""statement_type_unknown""]",False,all_supported_providers_already_present,"{""review_ratio"":0.03076923076923077,""suspicious_count"":2,""unknown_date_ratio"":0.0,""validation_fail_count"":0}"
债务人审计报告-2022年,6,"aliyun_table,tencent_table_v3",0.375,0.0,[],False,all_supported_providers_already_present,"{""review_ratio"":0.0,""suspicious_count"":0,""unknown_date_ratio"":0.0,""validation_fail_count"":0}"
债务人审计报告-2022年,10,"aliyun_table,tencent_table_v3",1.0,0.0,[],False,all_supported_providers_already_present,"{""review_ratio"":0.0,""suspicious_count"":0,""unknown_date_ratio"":0.0,""validation_fail_count"":0}"
债务人审计报告-2022年,12,aliyun_table,1.0,0.0,[],False,risk_below_threshold,"{""review_ratio"":0.0,""suspicious_count"":0,""unknown_date_ratio"":0.0,""validation_fail_count"":0}"
债务人审计报告-2022年,13,"aliyun_table,tencent_table_v3",1.0,0.75,"[""suspicious_numeric_cells"",""validation_fail"",""review_ratio_high""]",False,all_supported_providers_already_present,"{""review_ratio"":0.2777777777777778,""suspicious_count"":24,""unknown_date_ratio"":0.0,""validation_fail_count"":6}"
债务人审计报告-2022年,14,"aliyun_table,tencent_table_v3",0.955882,0.75,"[""suspicious_numeric_cells"",""validation_fail"",""review_ratio_high""]",False,all_supported_providers_already_present,"{""review_ratio"":0.2916666666666667,""suspicious_count"":55,""unknown_date_ratio"":0.0,""validation_fail_count"":8}"
债务人审计报告-2022年,15,"aliyun_table,tencent_table_v3",0.0,1.0,"[""suspicious_numeric_cells"",""validation_fail"",""review_ratio_high"",""no_aligned_pairs_found""]",False,all_supported_providers_already_present,"{""review_ratio"":0.5428571428571428,""suspicious_count"":95,""unknown_date_ratio"":0.0,""validation_fail_count"":8}"
债务人审计报告-2022年,16,"aliyun_table,tencent_table_v3",1.0,0.45,"[""suspicious_numeric_cells"",""review_ratio_high""]",False,all_supported_providers_already_present,"{""review_ratio"":0.46875,""suspicious_count"":23,""unknown_date_ratio"":0.0,""validation_fail_count"":0}"
债务人审计报告-2022年,17,"aliyun_table,tencent_table_v3",0.916667,0.75,"[""suspicious_numeric_cells"",""validation_fail"",""review_ratio_high""]",False,all_supported_providers_already_present,"{""review_ratio"":0.2898550724637681,""suspicious_count"":25,""unknown_date_ratio"":0.0,""validation_fail_count"":6}"
